1,The Big Lebowski,03/06/1998,117,R,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Standard
145,Hang ‘Em High,07/31/1968,114,PG-13,"When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice.",Standard
146,Watchmen,03/06/2009,162,R,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Standard
147,The Ringer,12/23/2005,94,PG-13,A young guy's only option to erase a really bad debt is to rig the Special Olympics by posing as a contestant.,Standard
148,Silver Linings Playbook,12/25/2012,122,R,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",Standard
149,Alien,06/22/1979,117,R,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Standard
150,Aliens,07/18/1986,137,R,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",Standard
151,Batman,06/23/1989,126,PG-13,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",Standard
152,Coach Carter,01/14/2005,136,PG-13,Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,Standard
153,Gremlins,06/08/1984,106,PG,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,Standard
154,V for Vendetta,03/17/2006,132,R,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",Standard
155,The Happening,06/13/2008,91,R,"A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.",Standard
156,The Gambler,12/25/2014,111,R,"Literature professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation, is his relationship with one of his students. Will Bennett risk his life for a second chance?",Standard
157,Training Day,10/05/2001,122,R,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,Standard
158,The Sandlot,04/07/1993,101,PG,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",Standard
159,American Psycho,04/14/2000,101,R,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Standard
160,Bachelor Party,06/29/1984,105,R,A soon-to-be-married man's friends throw him the ultimate bachelor party.,Standard
161,The Rocker,08/20/2008,102,PG-13,"In the 1980s, a drummer is abandoned by his band just before they become rock superstars. Twenty years later, the drummer sees his second chance at stardom arise when he is asked to perform with his teenage nephew's high school rock band.",Standard
162,The Great Outdoors,06/17/1988,91,PG,A Chicago man and his family go camping with his obnoxious brother-in-law.,Standard
163,Charlie and the Chocolate Factory,07/15/2005,115,PG,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Standard
164,Deuce Bigalow: Male Gigolo,12/10/1999,88,R,"An average aquarium cleaner house-sits for a gigolo, only to be forced to become one himself.",Standard
165,The Animal,06/01/2001,84,PG-13,"After receiving organ transplants from various animal donors, a man finds himself taking on the traits of those animals.",Standard
166,Rush Hour,09/18/1998,98,PG-13,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way.",Standard
167,Rush Hour 2,08/03/2001,90,PG-13,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.",Standard
168,Stripes,06/26/1981,106,R,Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.,Standard
169,The Commuter,01/12/2018,104,PG-13,An action-thriller in which an insurance salesman/ex-cop is caught up in a life-threatening conspiracy during his daily commute home.,Standard
170,Smokey and the Bandit,05/27/1977,96,PG,"The Bandit is hired on to run a tractor-trailer full of beer over state lines, in hot pursuit by a pesky sheriff.",Standard
171,The Longest Yard,08/30/1974,121,R,"A sadistic warden asks a former pro quarterback, now serving time in his prison, to put together a team of inmates to take on (and get pummeled by) the guards.",Standard
172,Thunderstruck,08/24/2012,94,PG,"When Brian, a hopelessly uncoordinated young fan magically switches talents with his hero, basketball star Kevin Durant, he becomes the star of his high school team, while Kevin Durant suddenly can't make a shot to save his life.",Standard
173,The Mummy,06/09/2017,110,PG-13,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",Standard
174,Terminator 2: Judgement Day,07/03/1991,137,R,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.",Standard
175,The Road Warrior,12/24/1981,96,R,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community escape a horde of bandits.",Standard
176,I Am Legend,12/14/2007,101,PG-13,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",Standard
177,The Godfather,03/24/1972,175,R,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,Standard
178,The Godfather Part II,12/18/1974,202,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Standard
179,The Godfather Part III,12/25/1990,162,R,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",Standard
180,The Hurt Locker,07/31/2009,131,R,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",Standard
181,The Boy in the Striped Pajamas,11/26/2008,94,PG-13,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",Standard
182,Robots,03/11/2005,91,PG,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.",Standard
183,Taken,01/30/2009,90,PG-13,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",Standard
184,Taken 2,10/05/2012,92,PG-13,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",Standard
185,A Time to Kill,07/24/1996,149,R,"In Canton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan.",Standard
186,Slumdog Millionaire,12/25/2008,120,R,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Standard
187,Interstellar,11/07/2014,169,PG-13,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Standard
188,The Internship,06/07/2013,119,PG-13,"Two salesmen whose careers have been torpedoed by the digital age find their way into a coveted internship at Google, where they must compete with a group of young, tech-savvy geniuses for a shot at employment.",Standard
189,Daddy’s Home,12/25/2015,96,PG-13,"Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.",Standard
190,Daddy’s Home 2,11/10/2017,100,PG-13,"Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.",Standard
191,Zombieland,10/02/2009,88,R,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Standard
192,Guess Who,03/25/2005,105,PG-13,"A young woman, Theresa, brings her boyfriend, Simon, home to meet her parents and surprise them with the news of their engagement. Another surprise: Simon is white.",Standard
193,Godsend,04/30/2004,102,PG-13,"A couple agree to have their deceased son cloned, under the supervision of an enigmatic doctor, but bizarre things start to happen several years after his rebirth.",Standard
194,Mighty Joe Young,12/25/1998,114,PG,"A legendary fifteen-foot tall mountain gorilla named Joe is taken to an animal sanctuary in California by zoologist Gregg O'Hara (Bill Paxton) and Jill Young (Charlize Theron), with whom he grew up. Poacher Strasser (Rade Serbedzija) returns from the past to seek vengeance on Joe.",Standard
195,The Wedding Ringer,01/16/2015,101,R,"Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need.",Standard
196,Desperate Hours,10/05/1990,105,R,"An escaped con, on the run from the law, moves into a married couple's house and takes over their lives.",Standard
197,Open Range,08/15/2003,139,R,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,Standard
198,Ride Along,01/17/2014,99,PG-13,"Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.",Standard
199,Wolf Creek,12/25/2005,99,R,Three backpackers stranded in the Australian outback are plunged inside a hellish nightmare of insufferable torture by a sadistic psychopathic local.,Standard
200,Dr. Dolittle 2,06/22/2001,87,PG,Dolittle must save a forest and a bear's life.,Standard
201,Tears of the Sun,03/07/2003,121,R,A Special-Ops commander leads his team into the Nigerian jungle in order to rescue a doctor who will only join them if they agree to save 70 refugees too.,Standard
202,A Madea Christmas,12/13/2013,100,PG-13,Madea dispenses her unique form of holiday spirit on rural town when she's coaxed into helping a friend pay her daughter a surprise visit in the country for Christmas.,Standard
203,Young Guns,08/12/1988,107,R,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",Standard
204,Safe House,02/10/2012,115,R,"A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.",Standard
205,Christmas with the Kranks,11/24/2004,98,PG,"With their daughter, Blair, away, Luther and Nora Krank decide to skip Christmas all together until she decides to come home, causing an uproar when they have to celebrate it at the last minute.",Standard
206,American Beauty,09/08/1999,122,R,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Standard
207,Burn After Reading,09/12/2008,96,R,A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.,Standard
208,Napoleon Dynamite,06/11/2004,95,PG,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",Standard
209,Bruno,07/10/2009,82,R,Flamboyant and gay Austrian Brüno looks for new fame in America.,Standard
210,Office Space,02/19/1999,89,R,Three company workers who hate their jobs decide to rebel against their greedy boss.,Standard
211,2001: A Space Odyssey,04/03/1968,149,G,"The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world's greatest supercomputer.",Standard
212,The Sitter,12/09/2011,81,R,"A college student on suspension is coaxed into babysitting the kids next door, though he is fully unprepared for the wild night ahead of him.",Standard
213,Role Models,11/07/2008,99,R,Wild behavior forces a pair of energy drink reps to enroll in a Big Brother program.,Standard
214,National Lampoon’s Animal House,07/28/1978,109,R,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",Standard
215,Bridesmaids,05/13/2011,125,R,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",Standard
216,Old Dogs,11/25/2009,88,PG,Two friends and business partners find their lives turned upside down when strange circumstances lead them to be the temporary guardians of seven year-old twins.,Standard
217,The Campaign,08/10/2012,85,R,An incumbent Representative embroiled in personal scandal faces a no-holds-barred challenge from a naive newcomer funded by two unscrupulous billionaire lobbyist brothers.,Standard
218,50/50,09/30/2011,100,R,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Standard
219,Easy A,09/17/2010,92,PG-13,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,Standard
220,Cars,06/09/2006,117,G,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",Standard
221,The Benchwarmers,04/07/2006,85,PG-13,A trio of guys try and make up for missed opportunities in childhood by forming a three-player baseball team to compete against standard children's Little League squads.,Standard
222,Pain & Gain,04/26/2013,129,R,A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.,Standard
223,Hoosiers,11/14/1986,115,PG,A coach with a checkered past and a local drunk train a small town high school basketball team to become a top contender for the championship.,Standard
224,Apollo 13,06/30/1995,140,PG,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Standard
225,War Dogs,08/19/2016,114,R,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",Standard
226,The Karate Kid,06/22/1984,127,PG,A martial arts master agrees to teach karate to a bullied teenager.,Standard
227,Platoon,12/19/1986,120,R,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Standard
228,Jumanji,12/15/1995,104,PG,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",Standard
229,Date Night,04/09/2010,88,PG-13,"In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.",Standard
230,Rango,03/04/2011,107,PG,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",Standard
231,The Prestige,10/20/2006,130,PG-13,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Standard
232,Road Trip,05/19/2000,94,R,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,Standard
233,Spaceballs,06/24/1987,96,PG,A star-pilot for hire and his trusty sidekick must come to the rescue of a princess and save Planet Druidia from the clutches of the evil Spaceballs.,Standard
234,Ferris Bueller’s Day Off,06/11/1986,103,PG-13,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",Standard
235,Neighbors,05/09/2014,96,R,"After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down.",Standard
236,Neighbors 2: Sorority Rising,05/20/2016,93,R,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",Standard
237,It,09/08/2017,135,R,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Standard
238,Don’t Breathe,08/26/2016,88,R,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",Standard
239,Saw,10/29/2004,103,R,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",Standard
240,Child’s Play,11/09/1988,87,R,"A single mother gives her son a much sought-after doll for his birthday, only to discover that it is possessed by the soul of a serial killer.",Standard
241,Insidious,04/01/2011,101,PG-13,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,Standard
242,Insidious: Chapter 2,09/13/2013,106,PG-13,"The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.",Standard
243,Insidious: Chapter 3,06/05/2015,98,PG-13,A prequel set before the haunting of the Lambert family that reveals how gifted psychic Elise Rainier reluctantly agrees to use her ability to contact the dead in order to help a teenage girl who has been targeted by a dangerous supernatural entity.,Standard
244,Harry Potter and the Goblet of Fire,11/18/2005,157,PG-13,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Standard
245,The Hunger Games,03/23/2012,142,PG-13,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Standard
246,The Hunger Games: Catching Fire,11/22/2013,146,PG-13,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,Standard
247,Austin Powers: International Man of Mystery,05/02/1997,91,PG-13,A world-class playboy and part-time secret agent from the 1960s emerges after thirty years in a cryogenic state to battle with his nemesis Dr. Evil.,Standard
248,Austin Powers: The Spy Who Shagged Me,06/11/1999,95,PG-13,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".",Standard
249,Austin Powers: Goldmember,06/26/2002,95,PG-13,"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.",Standard
250,Evolution,06/08/2001,101,PG-13,"A fire-fighting cadet, two college professors, and a geeky but sexy government scientist work against an alien organism that has been rapidly evolving since its arrival on Earth inside a meteor.",Standard
251,Mars Attacks!,12/13/1996,106,PG-13,Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.,Standard
252,The Terminal,06/18/2004,128,PG-13,"An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.",Standard
253,Forgetting Sarah Marshall,04/18/2008,111,R,"Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",Standard
254,Rio,04/15/2011,96,PG,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",Standard
255,The Wolf of Wall Street,12/25/2013,180,R,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Standard
256,Blades of Glory,03/30/2007,93,PG-13,"In 2002, two rival Olympic ice skaters were stripped of their gold medals and permanently banned from men's single competition. Presently, however, they've found a loophole that will allow them to qualify as a pairs team.",Standard
257,Hot Tub Time Machine,03/26/2010,99,R,"A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.",Standard
258,Wedding Crashers,07/15/2005,119,R,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",Standard
259,30 Minutes or Less,08/12/2011,83,R,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...",Standard
260,Get Hard,03/27/2015,100,R,"When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",Standard
261,Blade Runner,06/25/1982,117,R,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Standard
262,District 9,08/14/2009,112,R,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,Standard
263,American Sniper,12/25/2014,132,R,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",Standard
264,Get Smart,06/20/2008,110,PG-13,"Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.",Standard
265,Yes Man,12/19/2008,104,PG-13,"A man challenges himself to say ""yes"" to everything.",Standard
266,Argo,10/12/2012,120,R,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",Standard
267,Mr. Deeds,06/28/2008,96,PG-13,"A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.",Standard
268,Freaky Friday,08/06/2003,96,PG,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",Standard
269,Spy Kids 3: Game Over,07/25/2003,84,PG,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.",Standard
270,Like Mike,07/03/2002,99,PG,"A 13-year-old orphan becomes an NBA superstar after trying on a pair of sneakers with the faded initials ""M.J."" inside.",Standard
271,Miss March,03/13/2009,90,R,"Eugene believes in no sex before marriage. So DID his girlfriend, Cindi. His BFF loves sex. At Senior Prom, just before sex with Cindi, he falls into a coma. Waking up 4 years later, his Cindi is Miss March in Playboy. Can he get her back?",Standard
272,Grudge Match,12/25/2013,113,PG-13,"A pair of aging boxing rivals are coaxed out of retirement to fight one final bout, thirty years after their last match.",Standard
273,Let’s Be Cops,08/13/2014,104,R,"Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",Standard
274,Pixels,07/24/2015,106,PG-13,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",Standard
275,Accepted,08/18/2006,92,PG-13,"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown.",Standard
276,The Incredibles,11/05/2004,115,PG,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Standard
277,Unaccompanied Minors,12/08/2006,87,PG,A group of unaccompanied minors bond while snowed in at the midwestern Hoover International Airport during the holiday season and ultimately create a makeshift holiday themselves.,Standard
278,Agent Cody Banks,03/14/2003,102,PG,A government agent trains Cody Banks in the ways of covert operations that require younger participants.,Standard
279,Remember the Titans,09/29/2000,113,PG,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,Standard
280,The DaVinci Code,05/19/2006,149,PG-13,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.",Standard
281,The Mummy,05/07/1999,125,PG-13,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",Standard
282,American Wedding,08/01/2003,96,R,"It's the wedding of Jim and Michelle and the gathering of their families and friends, including Jim's old friends from high school and Michelle's little sister.",Standard
283,Youth in Revolt,01/08/2010,89,R,"While his trailer trash parents teeter on the edge of divorce, Nick Twisp sets his sights on dream girl Sheeni Saunders, hoping that she'll be the one to take away his virginity",Standard
284,Up in the Air,12/04/2009,109,R,"Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire presenting a new business model.",Standard
285,As Good as It Gets,12/25/1997,139,PG-13,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",Standard
286,A Beautiful Day in the Neighborhood,11/22/2019,109,PG,Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel.,Standard
287,The Dictator,05/16/2012,83,R,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.,Standard
